"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.491639333E0,5.378608704E-1,-3.341950942E-3,8.147424087E-4,5.378718698E-1
2.501623333E0,4.615954161E-1,2.141498029E-3,-9.432102088E-4,4.616013473E-1
2.511608333E0,3.840895891E-1,2.811047714E-3,2.212288789E-3,3.841062466E-1
2.521592333E0,3.039891720E-1,7.289885543E-4,3.598197829E-3,3.040113405E-1
2.531577333E0,2.240686268E-1,8.045863360E-4,7.007592358E-3,2.241796226E-1
2.541561333E0,1.415199488E-1,2.597958781E-3,8.509082720E-3,1.417993293E-1
2.551546333E0,6.508212537E-2,7.342660334E-3,6.958251353E-3,6.586360880E-2
2.561530333E0,-1.892142929E-2,6.271803286E-3,5.282057449E-3,2.062173935E-2
2.571515333E0,-1.018533483E-1,2.362020779E-3,-5.357738584E-3,1.020215128E-1
2.581499333E0,-1.840038747E-1,-2.131264191E-3,-7.263762876E-3,1.841595244E-1
2.591484333E0,-2.664813697E-1,-4.547297489E-3,-9.982511401E-3,2.667070469E-1
2.601468333E0,-3.448185325E-1,-7.072506938E-3,-3.664960852E-3,3.449105284E-1
2.611453333E0,-4.189802408E-1,-1.230303664E-3,-1.662675058E-3,4.189853462E-1
2.621437333E0,-4.974686503E-1,1.919151284E-3,-5.271031987E-4,4.974726315E-1
2.631422333E0,-5.712886453E-1,1.707389485E-3,-6.048417185E-3,5.713232139E-1
2.641406333E0,-6.435740590E-1,1.987020951E-3,-7.626073901E-3,6.436223075E-1
2.651391333E0,-7.088506818E-1,1.860033255E-3,-7.715443149E-3,7.088951099E-1
2.661375333E0,-7.735742927E-1,4.728523549E-3,-7.740476169E-3,7.736274686E-1
2.671360333E0,-8.370769024E-1,1.369967498E-2,-6.036162376E-4,8.371892175E-1
2.681344333E0,-8.934738636E-1,1.727363840E-2,5.913671106E-3,8.936603913E-1
2.691329333E0,-9.505016208E-1,2.121422254E-2,7.562143728E-3,9.507684052E-1
2.701313333E0,-9.980430603E-1,1.937797293E-2,2.287487034E-3,9.982337846E-1
2.711298333E0,-1.042611599E0,1.475931890E-2,-1.553421142E-3,1.042717218E0
2.721282333E0,-1.084352136E0,1.371695846E-2,-5.925532430E-3,1.084455080E0
2.731267333E0,-1.118057251E0,1.495502703E-2,-4.272492602E-3,1.118165428E0
2.741251333E0,-1.148596525E0,1.686850749E-2,1.045840327E-3,1.148720862E0
2.751236333E0,-1.174390078E0,1.558540575E-2,2.553052269E-3,1.174496265E0
2.761220333E0,-1.194046617E0,1.016001403E-2,4.973865580E-3,1.194100200E0
2.771205333E0,-1.208584666E0,5.125530064E-3,-5.730556324E-3,1.208609120E0
2.781189333E0,-1.216795206E0,2.438399941E-3,-1.306836493E-2,1.216867824E0
2.791174292E0,-1.222767591E0,2.971578389E-3,-1.829169504E-2,1.222908009E0
2.801158292E0,-1.223464251E0,6.092536263E-3,-1.372224279E-2,1.223556370E0
2.811143292E0,-1.214137435E0,1.017674338E-2,-7.106409408E-3,1.214200880E0
2.821127292E0,-1.201437116E0,7.918914780E-3,1.153916819E-3,1.201463767E0
2.831112292E0,-1.181160212E0,9.269688278E-3,6.240812130E-3,1.181213071E0
2.841097292E0,-1.161997914E0,9.772758931E-3,5.348120816E-3,1.162051316E0
2.851081292E0,-1.137008429E0,1.245137863E-2,-2.310670447E-3,1.137078952E0
2.861066292E0,-1.099513769E0,1.383462548E-2,-8.291864768E-3,1.099632066E0
2.871050292E0,-1.058732986E0,1.644213125E-2,-9.379967116E-3,1.058902198E0
2.881035292E0,-1.017813206E0,2.009066194E-2,-1.983037451E-3,1.018013403E0
2.891019292E0,-9.692579508E-1,1.569139585E-2,6.435077637E-3,9.694063159E-1
2.901004292E0,-9.173467755E-1,1.097200718E-2,1.051237714E-2,9.174726163E-1
2.910988292E0,-8.595602512E-1,5.440319423E-3,1.057337970E-2,8.596424948E-1
2.920973292E0,-8.011491895E-1,4.654421005E-3,-2.630222589E-4,8.011627529E-1
2.930957292E0,-7.375847101E-1,6.021980196E-3,-1.091048587E-2,7.376899807E-1
2.940942292E0,-6.716160774E-1,4.503179342E-3,-1.339707989E-2,6.717647772E-1
2.950926292E0,-5.998318195E-1,3.114584833E-3,-1.178911980E-2,5.999557448E-1
2.960911292E0,-5.275989175E-1,-3.057290800E-3,-4.884075373E-3,5.276303810E-1
2.970895292E0,-4.526402056E-1,-6.905824877E-3,4.784797318E-3,4.527181689E-1
2.980880292E0,-3.770759404E-1,-6.271193270E-3,4.430064466E-3,3.771541040E-1
2.990864292E0,-2.973009348E-1,-2.164079342E-3,1.766177476E-3,2.973140569E-1
3.000849292E0,-2.182644159E-1,3.504771739E-4,-9.689675644E-3,2.184796738E-1
